Data,Otwarcie,Najwyzszy,Najnizszy,Zamkniecie,Wolumen
2015-09-07,71.5809,72.7002,70.8096,71.5905,843910.61997762
2015-09-08,71.8193,74.5268,71.7459,73.8376,1247291.2931606
2015-09-09,76.0866,77.4823,75.1703,76.5461,1449631.4299893
2015-09-10,76.445,78.4643,75.4822,78.4643,1374242.0155396
2015-09-11,78.4738,78.7035,77.3354,77.9047,636228.38047209
2015-09-14,76.6376,79.7589,75.445,77.5099,911625.15414341
2015-09-15,77.3259,78.6119,76.6376,78.6119,887393.21696699
2015-09-16,79.2527,80.5846,79.0697,80.5759,1101794.7790226
2015-09-17,80.7686,83.0538,80.5846,82.6038,1173025.2621718
2015-09-18,82.9251,82.9251,78.5291,79.6207,1517664.8330367
2015-09-21,79.7122,80.1717,78.1057,78.6119,670924.25173526
2015-09-22,78.7493,78.7493,74.3715,74.5268,1921144.1038343
2015-09-23,73.4257,75.6203,72.5267,73.4257,1157815.0067396
2015-09-24,73.8376,75.2619,73.2427,74.6832,942627.81049886
2015-09-25,75.2619,75.5917,74.2609,74.481,606470.78122982
2015-09-28,74.4352,74.4352,70.0384,70.1203,954057.79142741
2015-09-29,68.7436,71.9022,66.4508,71.5905,1477816.7119505
2015-09-30,72.9204,75.2524,72.5448,75.2152,1134189.3400025
2015-10-01,76.5461,77.693,73.7651,74.6375,1012799.9426564
2015-10-02,74.6745,75.1513,71.7001,72.2969,1088441.0956968
2015-10-05,73.8938,77.2802,73.6555,76.895,1247517.8578922
2015-10-06,76.4546,81.7781,75.1703,80.0335,1805354.8412205
2015-10-07,82.375,84.8061,81.6399,83.2464,3077775.9391976
2015-10-08,82.1452,84.5315,81.3005,83.521,1745684.4039383
2015-10-09,85.3571,87.689,85.3571,87.6519,2043568.7761347
2015-10-12,88.1476,89.0295,85.1932,85.5135,1255261.9662886
2015-10-13,85.0082,86.6051,83.989,86.5955,646447.9183437
2015-10-14,86.2743,86.688,84.2559,85.9539,857103.81995187
2015-10-15,86.688,87.6433,86.6423,87.4679,621116.72265456
2015-10-16,87.1933,88.019,85.8166,86.2286,944123.55729193
2015-10-19,84.623,87.0103,83.1548,83.7059,838050.35536829
2015-10-20,83.0804,85.2188,81.3473,84.623,766645.75302717
2015-10-21,85.3571,85.972,83.7059,84.0539,709965.76042037
2015-10-22,84.9729,87.854,84.4847,87.8359,936662.65481007
2015-10-23,87.9359,91.7819,87.9359,90.1297,2061779.9653502
2015-10-26,91.7734,91.7819,87.9264,88.1562,908101.86278441
2015-10-27,88.8445,89.0295,86.3667,86.3667,1092262.2777215
2015-10-28,85.3666,87.6433,84.2559,86.4773,713905.46936482
2015-10-29,86.2667,86.2667,82.4207,83.2654,1151732.3730418
2015-10-30,83.521,83.9804,81.6866,82.4751,1266495.8008986
2015-11-02,82.8336,85.0996,82.5123,85.0996,817666.87189719
2015-11-03,85.3571,85.6327,84.3199,84.7145,603668.0915867
2015-11-04,85.3571,88.0743,85.3571,86.0826,1155923.820577
2015-11-05,85.4038,85.6508,83.2654,83.2654,756799.62739843
2015-11-06,83.5868,83.8793,81.4292,82.1452,1199670.7430866
2015-11-09,82.1547,83.3102,81.8049,81.8049,519910.46681778
2015-11-10,81.8697,82.0709,78.5653,79.5292,850782.03459292
2015-11-12,78.9333,79.4643,74.5459,74.5459,1005441.8334324
2015-11-13,70.7639,73.4257,70.6904,70.9574,1479346.023889
2015-11-16,70.9479,71.3702,67.0925,67.0925,1815503.053158
2015-11-17,67.0925,72.5076,67.0925,71.7182,1438015.7918501
2015-11-18,72.3245,72.3245,67.6892,71.397,1295163.5818253
2015-11-19,72.0481,72.2149,69.6809,69.9383,901039.5464045
2015-11-20,70.9107,71.4798,70.0298,71.0118,1039761.1457203
2015-11-23,67.919,68.8277,65.8083,68.0572,1473466.8788854
2015-11-24,68.2022,69.5254,66.0828,67.4041,1589918.0042106
2015-11-25,68.5158,70.4883,66.5424,66.9094,1484369.2576843
2015-11-26,68.3776,69.2862,67.6616,68.7084,834415.87946507
2015-11-27,68.6808,68.6808,66.8446,67.5424,893959.39854107
2015-11-30,67.001,67.6244,66.019,66.3594,1590405.7477301
2015-12-01,67.4596,68.084,67.083,67.4041,634587.88398937
2015-12-02,67.6435,67.7712,62.4124,62.5497,2231425.5527118
2015-12-03,62.6421,63.421,61.6774,62.5955,1077281.7337532
2015-12-04,62.5955,62.8623,57.8219,61.0357,1922260.1449197
2015-12-07,61.4943,62.2741,57.1345,57.7685,1012612.1876241
2015-12-08,57.1431,58.2815,53.9675,54.2429,2092682.9751802
2015-12-09,54.3536,56.2078,52.1779,54.4822,2151428.2731415
2015-12-10,55.0696,56.1706,54.5184,55.0696,811397.53207798
2015-12-11,57.7122,58.1899,54.7015,55.9038,1300873.852191
2015-12-14,56.7942,56.7942,55.0505,55.4452,1056521.6913069
2015-12-15,55.5194,55.8951,54.9218,55.3441,1149263.2370314
2015-12-16,55.5739,56.9048,55.5462,55.9867,871875.63067196
2015-12-17,56.4462,56.7207,54.1514,54.2153,1807633.0754663
2015-12-18,54.61,55.8037,54.2886,55.4184,2011369.3125626
2015-12-21,55.3441,56.9972,55.161,56.4643,969078.19400581
2015-12-22,57.1249,57.9601,56.6482,57.042,913117.7542041
2015-12-23,57.8037,58.373,57.3633,57.6399,727606.34216364
2015-12-28,57.3815,57.9144,56.9048,57.3633,728886.01333303
2015-12-29,57.9601,60.1814,57.9325,59.6581,1016486.8640993
2015-12-30,60.09,60.09,58.2718,58.2718,549857.91891388
2016-01-04,55.0696,55.5739,54.426,54.6195,860728.85565794
2016-01-05,55.3908,56.0782,54.8855,55.2621,763803.20477385
2016-01-07,53.0503,53.6013,51.4067,51.7184,1513945.3953591
2016-01-08,52.5908,52.8482,49.7649,50.1139,1044468.6573664
2016-01-11,48.1394,49.6544,47.2767,48.6448,1134796.6593525
2016-01-12,48.6533,50.7002,48.1862,50.0386,938584.25938574
2016-01-13,50.9386,51.847,50.297,51.3056,874900.68940353
2016-01-14,51.3056,51.5258,50.297,51.4897,1399385.4561965
2016-01-15,50.7556,50.8747,48.5533,48.5533,1082849.3522509
2016-01-18,47.2672,49.3788,46.8094,48.8278,1183066.4852084
2016-01-19,50.3885,50.6554,49.6076,49.7554,987258.96480829
2016-01-20,48.8736,49.1949,47.6075,47.9927,1138998.5959956
2016-01-21,48.0947,49.3788,47.6799,48.6076,1058035.2695835
2016-01-22,49.4703,51.0129,49.3512,50.663,1142035.1927459
2016-01-25,51.1959,51.3056,50.3512,50.7002,825738.2404615
2016-01-26,50.1587,51.6641,50.03,51.4897,1456206.0028497
2016-01-27,52.1237,52.8568,51.8662,52.362,1454058.8824532
2016-01-28,52.7203,52.8853,51.2141,51.3981,1334177.8188297
2016-01-29,52.1046,53.3153,51.8567,52.7748,1984726.9783802
2016-02-01,52.3162,52.4067,51.2141,51.6365,726796.58303022
2016-02-02,52.3162,53.4727,51.4897,51.5449,1615881.6931089
2016-02-03,51.9481,52.6003,51.563,52.3162,997065.23182684
2016-02-04,53.6928,55.2525,53.5098,55.2525,1995918.8565584
2016-02-05,55.0696,58.3558,54.9313,56.5567,2528491.7744884
2016-02-08,56.675,57.6302,55.7664,56.8962,798384.7447604
2016-02-09,55.9867,57.1803,53.3153,54.0598,1710610.9247891
2016-02-10,54.0685,54.8398,53.3249,53.7653,806611.35212231
2016-02-11,53.3249,53.4173,51.627,52.4067,1412850.3240665
2016-02-12,52.6822,54.1333,52.5545,53.4907,886591.84911993
2016-02-15,55.3441,55.8675,54.6385,55.3441,990760.22904061
2016-02-16,55.9867,56.8037,55.5919,55.8408,1078901.2520201
2016-02-17,56.1803,60.0251,55.9133,59.5665,1930388.154667
2016-02-18,60.1167,63.2284,60.0347,60.6772,3107902.7550396
2016-02-19,60.9441,62.0176,60.274,60.9441,1600964.0837883
2016-02-22,62.8719,63.7881,62.4848,63.3286,1535252.9692402
2016-02-23,63.2189,64.0913,62.0721,62.9816,1140341.2018127
2016-02-24,62.4219,62.605,59.3559,59.9336,1646815.1213519
2016-02-25,59.8412,61.6774,59.374,59.9431,1342054.0899862
2016-02-26,61.2187,63.2104,60.9528,62.5955,2319606.4343015
